time,hr,rr,sv,hrv,ss,status,bbt0,bbt1,bbt2,time2
1581801942,0,0,0,0,242,0,0,0,0,1581801885
1581801943,0,0,0,0,234,0,0,0,0,1581801886
1581801944,0,0,0,0,262,1,0,0,0,1581801887
1581801945,0,0,0,0,254,1,0,0,0,1581801888
1581801946,0,0,0,0,244,0,0,0,0,1581801889
1581801947,0,0,0,0,243,0,0,0,0,1581801890
1581801948,0,0,0,0,211,0,0,0,0,1581801891
1581801949,0,0,0,0,213,0,0,0,0,1581801892
1581801950,0,0,0,0,222,0,0,0,0,1581801893
1581801951,0,0,0,0,228,0,0,0,0,1581801894
1581801952,0,0,0,0,281,1,0,0,0,1581801895
1581801953,0,0,0,0,254,1,0,0,0,1581801896
1581801954,0,0,0,0,226,0,0,0,0,1581801897
1581801955,0,0,0,0,240,0,0,0,0,1581801898
1581801956,0,0,0,0,240,0,0,0,0,1581801899
1581801957,0,0,0,0,247,1,0,0,0,1581801900
1581801958,0,0,0,0,219,0,0,0,0,1581801901
1581801959,0,0,0,0,246,1,0,0,0,1581801902
1581801960,0,0,0,0,241,0,0,0,0,1581801903
1581801961,0,0,0,0,257,1,0,0,0,1581801904
1581801962,0,0,0,0,230,0,0,0,0,1581801905
1581801963,0,0,0,0,245,1,0,0,0,1581801906
1581801964,0,0,0,0,252,1,0,0,0,1581801907
1581801965,0,0,0,0,229,0,0,0,0,1581801908
1581801966,0,0,0,0,218,0,0,0,0,1581801909
1581801967,0,0,0,0,218,0,0,0,0,1581801910
1581801968,0,0,0,0,223,0,0,0,0,1581801911
1581801969,0,0,0,0,239,0,0,0,0,1581801912
1581801970,0,0,0,0,235,0,0,0,0,1581801913
1581801971,0,0,0,0,228,0,0,0,0,1581801914
1581801972,0,0,0,0,244,0,0,0,0,1581801915
1581801973,0,0,0,0,259,1,0,0,0,1581801916
1581801974,0,0,0,0,247,1,0,0,0,1581801917
1581801975,0,0,0,0,246,1,0,0,0,1581801918
1581801976,0,0,0,0,235,0,0,0,0,1581801919
1581801977,0,0,0,0,231,0,0,0,0,1581801920
1581801978,0,0,0,0,231,0,0,0,0,1581801921
1581801979,0,0,0,0,254,1,0,0,0,1581801922
1581801980,0,0,0,0,298,1,0,0,0,1581801923
1581801981,0,0,0,0,244,0,0,0,0,1581801924
1581801982,0,0,0,0,356,1,0,0,0,1581801925
1581801983,0,0,0,0,346,1,0,0,0,1581801926
1581801984,0,0,0,0,288,1,0,0,0,1581801927
1581801985,0,0,0,0,239,0,0,0,0,1581801928
1581801986,0,0,0,0,234,0,0,0,0,1581801929
1581801987,0,0,0,0,221,0,0,0,0,1581801930
1581801988,0,0,0,0,214,0,0,0,0,1581801931
1581801989,0,0,0,0,222,0,0,0,0,1581801932
1581801990,0,0,0,0,241,0,0,0,0,1581801933
1581801991,0,0,0,0,230,0,0,0,0,1581801934
1581801992,0,0,0,0,246,1,0,0,0,1581801935
1581801993,0,0,0,0,243,0,0,0,0,1581801936
1581801994,85,7,81,99,5499,1,68495,0,0,1581801937
1581801995,85,7,81,99,1403,1,68495,0,0,1581801938
1581801996,85,7,81,99,562,1,68495,0,0,1581801939
1581801997,85,7,81,99,317,1,68495,0,0,1581801940
1581801998,85,7,81,99,288,1,68495,0,0,1581801941
1581801999,0,0,0,0,231,0,0,0,0,1581801942
1581802000,0,0,0,0,334,1,0,0,0,1581801943
1581802001,0,0,0,0,370,1,0,0,0,1581801944
1581802002,0,0,0,0,302,1,0,0,0,1581801945
1581802003,0,0,0,0,402,1,0,0,0,1581801946
1581802004,0,0,0,0,294,1,0,0,0,1581801947
1581802005,0,0,0,0,249,1,0,0,0,1581801948
1581802006,0,0,0,0,223,0,0,0,0,1581801949
1581802007,0,0,0,0,229,0,0,0,0,1581801950
1581802008,0,0,0,0,229,0,0,0,0,1581801951
1581802009,0,0,0,0,221,0,0,0,0,1581801952
1581802010,0,0,0,0,231,0,0,0,0,1581801953
1581802011,0,0,0,0,243,0,0,0,0,1581801954
1581802012,0,0,0,0,261,1,0,0,0,1581801955
1581802013,0,0,0,0,245,1,0,0,0,1581801956
1581802014,0,0,0,0,247,1,0,0,0,1581801957
1581802015,0,0,0,0,248,1,0,0,0,1581801958
1581802016,0,0,0,0,234,0,0,0,0,1581801959
1581802017,0,0,0,0,260,1,0,0,0,1581801960
1581802018,0,0,0,0,240,0,0,0,0,1581801961
1581802019,0,0,0,0,240,0,0,0,0,1581801962
1581802020,0,0,0,0,224,0,0,0,0,1581801963
1581802021,0,0,0,0,233,0,0,0,0,1581801964
1581802022,0,0,0,0,249,1,0,0,0,1581801965
1581802023,0,0,0,0,237,0,0,0,0,1581801966
1581802024,0,0,0,0,265,1,0,0,0,1581801967
1581802025,0,0,0,0,742,1,0,0,0,1581801968
1581802026,0,0,0,0,484,1,0,0,0,1581801969
1581802027,0,0,0,0,311,1,0,0,0,1581801970
1581802028,0,0,0,0,263,1,0,0,0,1581801971
1581802029,0,0,0,0,248,1,0,0,0,1581801972
1581802030,0,0,0,0,20766,2,0,0,0,1581801973
1581802031,0,0,0,0,2085,1,0,0,0,1581801974
1581802032,0,0,0,0,975,1,0,0,0,1581801975
1581802033,0,0,0,0,372,1,0,0,0,1581801976
1581802034,0,0,0,0,281,1,0,0,0,1581801977
1581802035,0,0,0,0,270,1,0,0,0,1581801978
1581802036,0,0,0,0,249,1,0,0,0,1581801979
1581802037,0,0,0,0,270,1,0,0,0,1581801980
1581802038,0,0,0,0,248,1,0,0,0,1581801981
1581802039,0,0,0,0,250,1,0,0,0,1581801982
1581802040,0,0,0,0,229,0,0,0,0,1581801983
1581802041,0,0,0,0,247,1,0,0,0,1581801984
1581802042,0,0,0,0,246,1,0,0,0,1581801985
1581802043,0,0,0,0,244,0,0,0,0,1581801986
1581802044,0,0,0,0,230,0,0,0,0,1581801987
1581802045,0,0,0,0,234,0,0,0,0,1581801988
1581802046,0,0,0,0,248,1,0,0,0,1581801989
1581802047,0,0,0,0,267,1,0,0,0,1581801990
1581802048,0,0,0,0,251,1,0,0,0,1581801991
1581802049,0,0,0,0,239,0,0,0,0,1581801992
1581802050,0,0,0,0,258,1,0,0,0,1581801993
1581802051,0,0,0,0,273,1,0,0,0,1581801994
1581802052,0,0,0,0,277,1,0,0,0,1581801995
1581802053,0,0,0,0,258,1,0,0,0,1581801996
1581802054,0,0,0,0,252,1,0,0,0,1581801997
1581802055,0,0,0,0,261,1,0,0,0,1581801998
1581802056,0,0,0,0,249,1,0,0,0,1581801999
1581802057,0,0,0,0,234,0,0,0,0,1581802000
1581802058,0,0,0,0,222,0,0,0,0,1581802001
1581802059,0,0,0,0,237,0,0,0,0,1581802002
1581802060,0,0,0,0,253,1,0,0,0,1581802003
1581802061,0,0,0,0,224,0,0,0,0,1581802004
1581802062,0,0,0,0,248,1,0,0,0,1581802005
1581802063,0,0,0,0,234,0,0,0,0,1581802006
1581802064,0,0,0,0,241,0,0,0,0,1581802007
1581802065,0,0,0,0,236,0,0,0,0,1581802008
1581802066,0,0,0,0,218,0,0,0,0,1581802009
1581802067,0,0,0,0,237,0,0,0,0,1581802010
1581802068,0,0,0,0,223,0,0,0,0,1581802011
1581802069,0,0,0,0,242,0,0,0,0,1581802012
1581802070,0,0,0,0,270,1,0,0,0,1581802013
1581802071,0,0,0,0,246,1,0,0,0,1581802014
1581802072,0,0,0,0,272,1,0,0,0,1581802015
1581802073,0,0,0,0,268,1,0,0,0,1581802016
1581802074,0,0,0,0,258,1,0,0,0,1581802017
1581802075,0,0,0,0,258,1,0,0,0,1581802018
1581802076,0,0,0,0,252,1,0,0,0,1581802019
1581802077,0,0,0,0,256,1,0,0,0,1581802020
1581802078,0,0,0,0,254,1,0,0,0,1581802021
1581802079,0,0,0,0,237,0,0,0,0,1581802022
1581802080,0,0,0,0,238,0,0,0,0,1581802023
1581802081,0,0,0,0,237,0,0,0,0,1581802024
1581802082,0,0,0,0,247,1,0,0,0,1581802025
1581802083,0,0,0,0,248,1,0,0,0,1581802026
1581802084,0,0,0,0,241,0,0,0,0,1581802027
1581802085,0,0,0,0,259,1,0,0,0,1581802028
1581802086,0,0,0,0,225,0,0,0,0,1581802029
1581802087,0,0,0,0,227,0,0,0,0,1581802030
1581802088,0,0,0,0,242,0,0,0,0,1581802031
1581802089,0,0,0,0,261,1,0,0,0,1581802032
1581802090,0,0,0,0,268,1,0,0,0,1581802033
1581802091,0,0,0,0,266,1,0,0,0,1581802034
1581802092,0,0,0,0,239,0,0,0,0,1581802035
1581802093,0,0,0,0,239,0,0,0,0,1581802036
1581802094,0,0,0,0,247,1,0,0,0,1581802037
1581802095,0,0,0,0,260,1,0,0,0,1581802038
1581802096,0,0,0,0,240,0,0,0,0,1581802039
1581802097,0,0,0,0,241,0,0,0,0,1581802040
1581802098,0,0,0,0,256,1,0,0,0,1581802041
1581802099,0,0,0,0,254,1,0,0,0,1581802041
1581802100,0,0,0,0,239,0,0,0,0,1581802042
1581802101,0,0,0,0,225,0,0,0,0,1581802043
1581802102,0,0,0,0,234,0,0,0,0,1581802044
1581802103,0,0,0,0,236,0,0,0,0,1581802045
1581802104,0,0,0,0,237,0,0,0,0,1581802046
1581802105,0,0,0,0,237,0,0,0,0,1581802047
1581802106,0,0,0,0,229,0,0,0,0,1581802048
1581802107,0,0,0,0,220,0,0,0,0,1581802049
1581802108,0,0,0,0,223,0,0,0,0,1581802050
1581802109,0,0,0,0,235,0,0,0,0,1581802051
1581802110,0,0,0,0,247,1,0,0,0,1581802052
1581802111,0,0,0,0,225,0,0,0,0,1581802053
